ID,PROMOTOR-GESTOR,ACCES,TIPUS VELOCITAT,TIPUS CONNEXIÓ,LATITUD,LONGITUD,DESIGNACIÓ-DESCRIPTIVA,POTENCIA,TIPUS DE CORRENT,INDENTIFICADOR,ADREÇA,PROVINCIA,CODIPROV,MUNICIPI,NPLACES ESTACIÓ,CODIMUN,TIPUS VEHICLE,Columna amb georeferència
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.385662,2.193913,B:SM 25 - P.R.Biomèdica,,,BSM026,"Carrer del Doctor Aiguader, 88",Barcelona,08,Barcelona,5+2,,cotxe i moto,POINT (2.193913 41.385662)
,,APARCAMENT PUBLIC,NORMAL,Schuko,41.78188,1.83677,Aparcament Cal Llobet-Selba,,,,"Carrer Roger de Flor, 11",Barcelona,08,Santpedor,,,cotxe i moto,POINT (1.8367700000000002 41.78188)
,"Viena, Sprinter i Norauto",APARCAMENT CC,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.3354,1.68557,EdRsR CC Vilafranca del Penedés QR (AC22kW),22,AC,,"Avinguda de Tarragona, 143",Barcelona,08,Vilafranca del Penedès,2,,cotxe i moto,POINT (1.68557 41.3354)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.37532,2.169709,B:SM 48 - Plaça Raquel Meyer - Paral·lel,,,BAMSA007,"Carrer de l'Abat Safont, 2",Barcelona,08,Barcelona,1,,cotxe,POINT (2.169709 41.37532)
,,,semiRAPID,2xMENNEKES.F,41.74978,1.90322,EdRsR Navarcles (AC22kW),22,AC,,Carrer Pau Claris 14,Barcelona,08,Navarcles,,,,POINT (1.9032200000000001 41.74978)
,,,semiRAPID,2xMENNEKES.F,41.54412,1.89232,EdRsR Olesa 2 (AC22kW),22,AC,,"Carrer de Mallorca, 2",Barcelona,08,Olesa de Montserrat,,,,POINT (1.89232 41.54412)
,ENGESTUR,APARCAMENT CC,NORMAL,Schuko,41.454699911,2.243362333,CC BCN-Illa Central,,,,Avinguda  Martí Pujol,Barcelona,08,Badalona,6,,,POINT (2.2433623330000003 41.454699911000006)
,22@,VIA PUBLICA,NORMAL,Schuko,41.396934,2.199915,30 AjBCN-22@ Ciutat de Granada,,,LC025,"Carrer de la Ciutat de Granada, 19",Barcelona,08,Barcelona,1,,cotxe i moto,POINT (2.199915 41.396934)
,Institut Català d'Energia i Ajuntament de Roses,,semiRAPID i NORMAL,2xMENNEKES.F + 2xSchuko,42.26494,3.17073,EdRsR Roses (AC22kW) PIRVEC-22,22,AC,PIRVEC-22,"Avinguda de Rhode, 58",Girona,17,Roses,2,,,POINT (3.17073 42.26494)
,Institut Català d'Energia i Ajuntament d'Olot,,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,42.18898,2.49879,EdRR Olot 2 La Rodona (DC50kW AC22kW) PIRVEC-17,50,AC-DC,PIRVEC-17,"Carretera de les Tries, 1",Girona,17,Olot,2,,,POINT (2.49879 42.18898)
,TESLA,APARCAMENT HOTEL,semiRAPID,TESLA,41.95399,3.12487,TESLA Destianció - Mas de Torrent Hotel & Spa (11kW),11,AC,,Afores de Torrent,Girona,17,Torrent,1,,cotxe,POINT (3.12487 41.95399)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.426239,2.143323,B:SM 37 - Sant Genís Vall d'Hebrón,,,BSM041,"Passeig de la Vall d'Hebrón, 138-176",Barcelona,08,Barcelona,2,,cotxe,POINT (2.143323 41.426239)
,Cal Pesolet,APARCAMENT,NORMAL,Schuko i MENNEKES.F,42.3454867330786,1.76810145378,Cal Pesolet - Casa rural Ecològica,,,,Nèfol,Lleida,25,Bellver de Cerdanya,1,,cotxe i moto,POINT (1.76810145378 42.3454867330786)
,Area Metropolitana de Barcelona,VIA PUBLICA (AMB),RAPID i NORMAL,CCS Combo2+ChadeMO+MENNEKES.M+shucko,41.41914,2.00113,EdRR Pallejà (DC50kW AC43kW) AMB7,50,AC-DC,AMB7,Ronda Santa Eulàlia-Carrer Joan Maragall,Barcelona,08,Pallejà,2,,,POINT (2.00113 41.419140000000006)
,SABA,APARCAMENT PUBLIC,NORMAL,Schuko,41.387398,2.168515,77 SABA Rambla Catalunya,,,,"Rambla de Catalunya, 15",Barcelona,08,Barcelona,2,,cotxe,POINT (2.168515 41.387398)
,SOFOS ENERGIA,APARCAMENT PRIVAT,NORMAL,Schuko,41.614821,0.684832,P.I. CIM-Els Frares SOFOS ENERGIA,,,,"Poligon CIM-Els Frares , Vial A , Nau 5",Lleida,25,Lleida,1,,,POINT (0.684832 41.614821)
,GAICU,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.44128,2.16499,EdRR-Mercat Canyelles-Rda Dalt (DC50kW AC43kW),50,AC-DC,FC006,"Via Favència, 21",Barcelona,08,Barcelona,1,,cotxe,POINT (2.16499 41.441280000000006)
,TESLA,APARCAMENT HOTEL,semiRAPID,TESLA,40.582356,0.555737,TESLA Destinació - Hotel Carlos III (22kW),22,AC,,"Carretera de Sant Carles a Alcanar, km 4",Tarragona,43,Alcanar,1,,cotxe,POINT (0.555737 40.582356)
,Area Metropolitana de Barcelona,VIA PUBLICA (AMB),RAPID i NORMAL,CCS Combo2+ChadeMO+MENNEKES.M+shucko,41.35382,2.12245,EdRR L'Hospitalet (AMB)(DC50kW AC43kW) AMB6,50,AC-DC,AMB6,"Carrer de Salvador Espriu, 59",Barcelona,08,L'Hospitalet de Llobregat,4,,cotxe i moto,POINT (2.12245 41.35382)
,Aparcament Sofia,APARCAMENT PÚBLIC,NORMAL,Schuko,41.234074,1.80405,"Aparcament Avinguda Sofia, Calipolis",,,,"Avinguda Sofia, 2",Barcelona,08,Sitges,2,,cotxe i moto,POINT (1.8040499999999997 41.234074)
,CC IKEA SABADELL,APARCAMENT CC,NORMAL,MENNEKES.F+Schuko,41.511,2.1063,CC IKEA SABADELL (7.5kW),7.5,AC,,Carrer de Serra del Galliners- Pssg Sant Pau de Riu Sec,Barcelona,08,Sabadell,21,,cotxe i moto,POINT (2.1063000000000005 41.511)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.381547,2.170166,B:SM 5 - Boqueria,,,BSM001,Carrer de les Floristes de la Rambla-Plaça Gardunya 8S,Barcelona,08,Barcelona,9,,cotxe,POINT (2.170166 41.381547)
,AEB,VIA PUBLICA,NORMAL,Schuko,41.396236,2.18219,91 AjBCN-ETRA COBRA,,,LC005,"Carrer d'Ausiàs March, 118",Barcelona,08,Barcelona,2,,cotxe i moto,POINT (2.18219 41.396236)
,,,semiRAPID,2xMENNEKES.F + 2xSchuko,41.5858,2.17639,EdRsR Fenie Palau de Plegamans i Solità (AC22kW),22,AC,,"Carrer de Folch i Torres, 37",Barcelona,08,Palau de Plegamans i Solità,2,,cotxe,POINT (2.17639 41.5858)
,TESLA,APARCAMENT HOTEL,semiRAPID,TESLA,41.81987,2.96417,TESLA Destinació - Salles Hotel Mas Tapiolas (22kW),22,AC,,Carretera C-65 km. 7,Girona,17,Santa Cristina d'Aro,1,,cotxe,POINT (2.96417 41.81987)
,Hotel Estela,HOTEL,NORMAL,Schuko,41.235620309,1.826850541,Hotel Estela,,,,"Avinguda  Port d'Aiguadolç, 8",Barcelona,08,Sitges,1,,moto,POINT (1.8268505409999998 41.235620309)
,,,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.1943,1.62413,EdRsR Cunit (AC22kW),22,AC,,"Avinguda Sitges, 4A",Tarragona,17,Cunit,2,,,POINT (1.62413 41.1943)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.430428,2.187965,B:SM 36 - Sant Andreu Teatre,,,BSM024,"Carrer de les Monges, 2",Barcelona,08,Barcelona,2+1,,cotxe i moto,POINT (2.187965 41.430428)
,TESLA Hotel Ibis,APARCAMENT HOTEL,superRAPID,TESLA,41.998494,2.817328,TESLA Supercarregador - Girona-Hotel IBIS-Costa Brava (120kW),120,DC,,"Carrer Francesc Ferrer, 16-18",Girona,17,Girona,4,,cotxe,POINT (2.817328 41.998494)
,,,semiRAPID,2xMENNEKES.F,41.54151,1.89236,EdRsR Olesa 1 (AC22kW),22,AC,,"Carrer d'Alfons Sala, 88",Barcelona,08,Olesa de Montserrat,,,,POINT (1.8923600000000003 41.54151)
,Boï-Taull resort,APARCAMENT HOTEL,NORMAL,Schuko,42.5157068,0.8565367,Boï-Taull Resort,,,,"Urbanización Pla de L'Ermita, Carrer Sant Quirze, s/n",Lleida,25,Boï-Taüll,,,cotxe i moto,POINT (0.8565367 42.5157068)
,MOBILITAT-IBERDROLA,VIA PUBLICA (MOBECPOINT),NORMAL,Schuko,41.459165763709166,2.228849977254868,MOBECPOINT-Institut Gaudí Construcció,,,,Avinguda Comunitat Europea,Barcelona,08,Badalona,1,,moto,POINT (2.2288499772548676 41.459165763709166)
,ESSER,ESTACIÓ DE SERVEI,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.62414,2.675,EdRR ESSER Pineda (DC50kW AC43kW),50,AC-DC,,"Carrer Carles I, 8",Barcelona,08,Pineda de Mar,2,,,POINT (2.675 41.62414)
,AEB,VIA PUBLICA,NORMAL,Schuko,41.406525,2.152333,92 AjBCN-ETRA COBRA  Torrent de l'Olla,,,LC016,"Carrer del Torrent de l'Olla, 222",Barcelona,08,Barcelona,2,,moto,POINT (2.152333 41.406525)
,"IBERDROLA SERVICIOS ENERGETICOS, SAU",VIA PUBLICA,NORMAL,Schuko,41.393854,2.108432,108 MOBECPOINT-IESE Pearson,,,LC038,"Avinguda  de Pearson, 19",Barcelona,08,Barcelona,10,,moto,POINT (2.108432 41.393854)
,HOTEL NH CONSTANZA,HOTEL,NORMAL,Schuko,41.3893292,2.166049599999951,HOTEL NH CALDERON,,,,"Rambla de Catalunya, 26",Barcelona,08,Barcelona,1,,,POINT (2.166049599999951 41.3893292)
,Ajuntament de  El Masnou,VIA PUBLICA,FORA DE SERVEI,Schuko,41.477990439,2.304726294,Ajuntament de El Masnou 1,,,,"Passeig Joan Carles I, 12",Barcelona,08,El Masnou,1,,,POINT (2.304726294 41.477990439)
,,,semiRAPID,TESLA i MENNEKES,41.40548,2.19148,CC Glories (22kW),22,AC,,Avinguda Diagonal 208,Barcelona,08,Barcelona,14,,,POINT (2.19148 41.40548)
,,,semiRAPID,2xMENNEKES.F+ 2xschuko,41.08313,0.95859,EdRsR Mont-Roig del Camp Ajuntament (AC22kW),22,AC,,"Carretera de Colldejou, 2",Tarragona,43,Mont-Roig del Camp,2,,,POINT (0.95859 41.08313)
,Generalitat de Catalunya,Aparcament Estació,NORMAL,Schuko,41.48402,1.91808,Intercanviador FGC Martorell,,,FGCMART,Avinguda Comte de Llobregat - Plaça Joan Serrats,Barcelona,08,MARTORELL,2,,cotxe i moto,POINT (1.9180800000000002 41.48402)
,AMERSAM,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.153851,1.101613,Aparcament Passeig Prim,,,,"Camí de Riudoms, 27",Tarragona,43,Reus,2,,cotxe i moto,POINT (1.101613 41.153851)
,GAICU,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.40646,2.15223,EdRR-Torrent de l'Olla (DC50kW AC43kW),50,AC-DC,FC005,"Carrer Torrent de l'Olla, 203",Barcelona,08,Barcelona,1,,cotxe,POINT (2.15223 41.40646)
,Melià BCN,HOTEL,NORMAL,Schuko,41.390865,2.141604,Melià BCN,,,,"Avinguda  Sarrià, 50",Barcelona,08,Barcelona,2,,cotxe,POINT (2.141604 41.390865)
,Institut Català d'Energia i GAICU,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.38244,2.18361,EdRR-Pla de Palau  (DC50kW AC43kW),50,AC-DC,PIRVEC-10 + FC14,"Pla de Palau, 4",Barcelona,08,Barcelona,1,,cotxe,POINT (2.18361 41.38244)
,Institut Català d'Energia i Ajuntament de Tremp,,semiRAPID,2xMENNEKES.F,42.16805,0.89549,EdRsR Tremp (AC22kW) PIRVEC-28,22,AC,PIRVEC-28,"Plaça Capdevila, 21",Lleida,25,Tremp,2,,,POINT (0.8954900000000001 42.16805)
,Ajuntament de Manresa,VIA PUBLICA,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.73682408,1.82836016,EdRsR Escola Politècnica Superior d'Enginyeria (AC22kW i 3.7kW),22,AC,,"Avinguda de les bases de Manresa, 61",Barcelona,08,Manresa,1,,,POINT (1.82836016 41.73682408)
,Institut Català d'Energia i Ajuntament de Mataró,,semiRAPID,2xMENNEKES.F,41.54458,2.44729,EdRsR Mataró Rocafonda (AC22kW),22,AC,,"Carrer Rocafonda, 2",Barcelona,08,Mataró,2,,,POINT (2.44729 41.54458)
,Estabanell y Pahisa,VIA PUBLICA (codiQR),NORMAL,Schuko,41.60961924,2.28509905,EP-Seu Estabanell y Pahisa GRN,,,,"Carrer Rec, 22-28",Barcelona,08,Granollers,1,,cotxe,POINT (2.28509905 41.60961924)
,,,semiRAPID,Schuko i MENNEKES.F,41.60831,0.63275,CC PlusFresc Lleida (7.5kW),7.5,AC,,"Avinguda de Barcelona, 65",Lleida,25,Lleida,2,,,POINT (0.63275 41.60831)
,Parc cientific,APARCAMENT PUBLIC,NORMAL,Schuko,41.381573,2.114353,110 Parc cientific,,,,"Avinguda del Dr. Gregorio Marañón, 8",Barcelona,08,Barcelona,13,,cotxe i moto,POINT (2.1143530000000004 41.381573)
,Ajuntament de Sant Cugat del Vallès,VIA PUBLICA,NORMAL,Schuko,41.469931,2.08801,Plaça. Mil·lenari-Auditori Sant Cugat,,,,Avinguda Pla del Vinyet 30T-Plaça Mil·lenari,Barcelona,08,Sant Cugat del Valles,2,,cotxe i moto,POINT (2.08801 41.469931)
,Endesa,VIA PUBLICA,NORMAL,Schuko,41.392296,2.132156,15 AjBCN-Endesa Sarrià-Ricard Villa,,,LC013,"Avinguda  de Sarrià, 130",Barcelona,08,Barcelona,2,,moto,POINT (2.132156 41.392296)
,TESLA,VIA PUBLICA,superRAPID,TESLA,40.75288,0.60629,TESLA Supercarregador - L'Aldea (120kW),120,DC,,"P.I. Les Mercaderias N-235, N-340",Tarragona,43,L'Aldea,6,,cotxe,POINT (0.60629 40.75288)
,Ajuntament de Mataró,,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.54943,2.43201,EdRR Mataró-Finlàndia -Mikko Kärnä- (DC50kW AC43kW),50,AC-DC,,"Carrer de Finlàndia, 2",Barcelona,08,Mataró,2,,,POINT (2.43201 41.54943)
,BIMSA,VIA PUBLICA,semiRAPID,MENNEKES,41.39537,2.153832,(eDUM) Lateral-Muntanya Diagonal (Balmes-Tusset) (7-12kW),7.5,AC,QC008,"Avinguda Diagonal, 508",Barcelona,08,Barcelona,2,,mercaderies,POINT (2.153832 41.39537)
,Estabanell y Pahisa,VIA PUBLICA (codiQR),NORMAL,Schuko,41.682718,2.2825619,EP-Estabanell y Pahisa-Antic Safareig,,,,Passeig del Congost - Carretera Nova,Barcelona,08,La Garriga,1,,cotxe,POINT (2.2825619 41.682718)
,Ajuntament Montornès,VIA PUBLICA,NORMAL,MENNEKES.F+Schuko,41.545427,2.266663,Ajuntament Montornès,,,,"Avinguda de la Llibertat, 2",Barcelona,08,Montornès del Vallès,2,,cotxe i moto,POINT (2.266663 41.545427)
,Ajuntament de Ripoll,VIA PUBLICA,semiRAPID i NORMAL,MENNEKES.F+Schuko,42.2006726430273,2.19027712941169,EdRsR Ajuntament Ripoll (AC22kW),22,AC,,"Carrer Berenguer el Vell, (Ajuntament)",Girona,17,Ripoll,2,,cotxe i moto,POINT (2.19027712941169 42.20067264302731)
,,,semiRAPID,2xMENNEKES.F,41.75275,1.87231,EdRsR Sant Fruitós del Bages 2 (AC22kW),22,AC,,"Avinguda Bertrand i Serra, 22",Barcelona,08,Sant Fruitós de Bages,,,,POINT (1.8723099999999997 41.75275)
,Institut Català d'Energia i Ajuntament de Sant Feliu de Guíxols,,semiRAPID,2xMENNEKES.F,41.79432,3.01903,EdRsR Guíxols-Mas Trempat (AC22kW) PIRVEC-30,22,AC,PIRVEC-30,"Carrer Mas Trempat, 1",Girona,17,Sant Feliu de Guíxols,2,,,POINT (3.01903 41.79432)
,Abertis-saba,VIA PUBLICA,NORMAL,Schuko,41.340072,2.125827,Seu zona franca Saba,,,,Carrer numero Un,Barcelona,08,Barcelona,2,,cotxe i moto,POINT (2.125827 41.340072)
,,VIA PUBLICA,superRAPID,TESLA,42.35895,1.46278,TESLA Supercarregador - La Seu d'Urgell (120kW),120,DC,,,Lleida,25,La Seu d’Urgell,10,,cotxe,POINT (1.46278 42.35895)
,Institut Català d'Energia i Ajuntament de Sant Cugat del Vallés,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.4752,2.0817,EdRR Sant Cugat -Raül Romeva- QR (DC50kW AC43kW),50,AC-DC,PIRVEC-7,"Carrer de la Mina, 9",Barcelona,08,Sant Cugat del Vallès,2,,cotxe,POINT (2.0817000000000005 41.47520000000001)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.383144,2.150551,B:SM 55 - Calàbria-València,,,BAMSA008,"Carrer de València,77 - Carrer de Calàbria, 182",Barcelona,08,Barcelona,1,,cotxe,POINT (2.150551 41.383144)
,Institut Català d'Energia i Ajuntament de Cabrera de Mar,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.5261,2.39407,EdRR Cabrera  (DC50kW AC43kW),50,AC-DC,PIRVEC-2,Plaça de la Fàbrica,Barcelona,08,Cabrera de Mar,2,,cotxe,POINT (2.39407 41.5261)
,ENGESTUR,APARCAMENT CC,NORMAL,Schuko,41.454780677,2.246644505,CC BCN-Manel Valls,,,,Plaça Manel Valls,Barcelona,08,Badalona,6,,,POINT (2.246644505 41.454780677)
,PETREM,ESTACIÓ DE SERVEI,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,42.26668,2.97318,EdRR E.S. PETREM El Molí (DC50kW AC44kW),50,AC-DC,,"Avinguda María Vilallonga, 61",Girona,17,Figueres,2,,cotxe,POINT (2.97318 42.26668)
,Ajuntament Sant Vicenç Montalt,APARCAMENT PUBLIC,NORMAL,Schuko,41.56712807840754,2.521523907780647,"Pèrgola FV, Aparcament N-II",,,,"Carretara N-II, Carretera Sant Vicenç de Montalt BV-5034",Barcelona,08,Caldes d'Estrach,2,,cotxe i moto,POINT (2.5215239077806473 41.56712807840754)
,CC BARNASUD,"APARCAMENT CC P-1, Zona Carrefour",NORMAL,Schuko,41.296209,2.006457,CC BARNASUD,,,,"Carrer del Progrés, 69 - Carrer de l'Energia, 30",Barcelona,08,Gavà,2,,cotxe i moto,POINT (2.006457 41.296209)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.384087,2.142749,B:SM 44 - Tarradelles-Nicaragua,,,BAMSA014,"Avinguda  de Josep Tarradellas, 46",Barcelona,08,Barcelona,1,,cotxe,POINT (2.142749 41.384087)
,22@,VIA PUBLICA,NORMAL,Schuko,41.396897,2.200017,29 AjBCN-22@ Ciutat de Granada,,,LC024,"Carrer de la Ciutat de Granada, 17",Barcelona,08,Barcelona,1,,cotxe i moto,POINT (2.200017 41.396897)
,SABA,APARCAMENT PUBLIC,NORMAL,Schuko,41.385239,2.176462,79 SABA Mercat Sta.Caterina,,,,"Avinguda  de la Catedral, 8",Barcelona,08,Barcelona,2,,moto,POINT (2.176462 41.385239)
,Endesa,VIA PUBLICA,NORMAL,Schuko,41.397507,2.119605,05 AjBCN-Endesa Domínguez Miralles- J.V.Foix,,,LC030,"Avinguda Josep Vicenç Foix, 86",Barcelona,08,Barcelona,2,,moto,POINT (2.119605 41.397507)
,Endesa,VIA PUBLICA,NORMAL,Schuko,41.43491,2.148409,03 AjBCN-Endesa Vall d'Hebron,,,LC032,"Arquitecte Moragas,31 - Avinguda  Can Marcet,36",Barcelona,08,Barcelona,2,,moto,POINT (2.148409 41.43491)
,Ajuntament de Terrassa,APARCAMENT PUBLIC,NORMAL,Schuko,41.56074,2.0064,Plaça Progrés-Cotxes,,,,"Carrer Arquimedes, 155",Barcelona,08,Terrassa,3,,moto,POINT (2.0064 41.56074)
,HOTEL NH CONSTANZA,HOTEL,NORMAL,Schuko,41.38455,2.137671299999965,HOTEL NH NUMANCIA,,,,"Carrer de Numància, 74",Barcelona,08,Barcelona,1,,,POINT (2.1376712999999654 41.38455)
,Masià,APARCAMENT CLIENTS,NORMAL,Schuko,41.6995,2.3834,Masia Can Pau Filbà,,,,Masia aïllada,Barcelona,08,Sant Pere Vilamajor,2,,cotxe i moto,POINT (2.3834 41.6995)
,,,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.1896,1.56745,EdRR Calafell (DC50kW-AC45kW),50,AC-DC,,"Carretera Sanatori, 29",Tarragona,43,Calafell,,,,POINT (1.56745 41.1896)
,TESLA,APARCAMENT HOTEL,semiRAPID,TESLA,41.41069,2.13629,TESLA Destinació - Restaurant Hotel ABaC (22kW),22,AC,,"Avinguda Tibidabo, 1",Barcelona,08,Barcelona,1,,cotxe,POINT (2.13629 41.41069000000001)
,Estabanell y Pahisa,VIA PUBLICA (codiQR),NORMAL,Schuko,41.84919539,2.22780389,EP-Estabanell y Pahisa TONA,,,,"Carretera Manresa, s/n",Barcelona,08,Tona,1,,cotxe,POINT (2.22780389 41.84919539)
,,VIA PUBLICA,semiRAPID,2xMENNEKES.F,41.79012,2.78023,EdRsR Vidreres (AC22kW),22,AC,,"Carrer Costa Brava, 123",Girona,17,Vidreres,2,,cotxe,POINT (2.7802300000000004 41.79012)
,Gintra-Ap. Parc Central,APARCAMENT PUBLIC,NORMAL,Schuko,41.544018552,2.440582297,Gintra-Ap. Parc Central,,,,"Camí de la Geganta, 15",Barcelona,08,Mataró,1,,,POINT (2.440582297 41.544018552)
,IBIL,APARCAMENT CC (IBIL),semiRAPID i NORMAL,MENNEKES+Schuko,41.508264,2.138665,IBIL-CC Baricentro (11kW),11,AC,,"Carretera N-150 km 6,7  (Pstg.Sagrera)",Barcelona,08,Barberà del Vallès,2,,cotxe i moto,POINT (2.138665 41.508264)
,CC CARREFOUR MATARÓ,APARCAMENT CC,NORMAL,Schuko,41.51978,2.421356,CC CARREFOUR Cabrera de Mar,,,,"Carretera N-II, km 644",Barcelona,08,Cabrera de Mar,2,,cotxe i moto,POINT (2.421356 41.51978)
,,,semiRAPID i NORMAL,2xMENNEKES.F+2xSchuko,42.35933,1.69682,EdRsR Martinet (AC22kW),22,AC,,"Camí Montellà, 25",Lleida,25,Martinet,2,,,POINT (1.69682 42.35933)
,BIMSA,VIA PUBLICA,NORMAL,Schuko,41.394502,2.152313,Lateral-Mar Diagonal (Aribau-Enric Granados) 2,,,LC044,"Avinguda Diagonal, 429",Barcelona,08,Barcelona,2,,moto,POINT (2.152313 41.394502)
,Endesa,VIA PUBLICA,NORMAL,Schuko,41.408447,2.202893,08 AjBCN-Endesa,,,LC021,"Carrer de Cristóbal de Moura,24 - Carrer de Bac de Roda",Barcelona,08,Barcelona,2,,moto,POINT (2.202893 41.408447)
,IBIL,ESTACIÓ DE SERVEI (IBIL),RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.596529,2.309376,IBIL-ES REPSOL C-352  (DC50kW AC43kW),50,AC-DC,,"Carretera de Barcelona, C-352",Barcelona,08,La Roca del Vallès,1,,cotxe,POINT (2.309376 41.596529)
,TESLA,APARCAMENT HOTEL,semiRAPID,TESLA,41.349032,1.66672,TESLA Destinació - Bodegas Torres Visitors Centre (22kW),22,AC,,"Finca El Maset, S/N",Barcelona,08,Pachs del Penedès,2,,cotxe,POINT (1.66672 41.349032)
,Institut Català d'Energia i GAICU,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.432965,2.203728,EdRR-Fra Juniper Serra (DC50kW AC43kW),50,AC-DC,PIRVEC-9 + FC015,"Carrer Fra Juniper Serra,  59",Barcelona,08,Barcelona,1,,cotxe,POINT (2.203728 41.432965)
,AEB,VIA PUBLICA -VORERA,NORMAL,Schuko,41.382069,2.191673,87 AjBCN-ETRA COBRA (Vorera Associació SEBA),,,LC002,"Passeig de Salvat Papasseit, 15 - Carrer Ginebra",Barcelona,08,Barcelona,2,,moto,POINT (2.1916730000000006 41.382069)
,BIMSA,VIA PUBLICA,NORMAL,Schuko,41.393659,2.148857,Lateral-Mar Diagonal (Casanova-Muntaner) 1,,,LC041,"Avinguda Diagonal, 449",Barcelona,08,Barcelona,2,,moto,POINT (2.148857 41.393659)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.374588,2.14287,B:SM 45 - Vilardell,,,BAMSA012,"Carrer de Vilardell, 20",Barcelona,08,Barcelona,1,,cotxe,POINT (2.14287 41.374588)
,,VIA PUBLICA,NORMAL,Schuko,41.38028,2.18729,AjBCN-Joan de Borbó,,,,"Joan de Borbó, 12 - Maquinista",Barcelona,08,Barcelona,2,,moto,POINT (2.18729 41.380280000000006)
,,VIA PUBLICA,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.15188,1.21437,EdRsR Constantí (AC22kW),22,AC,,"Carrer de Barcelona, 10",Tarragona,17,Constantí,2,,cotxe i moto,POINT (1.21437 41.15188)
,EUSAB,APARCAMENT CC,NORMAL,Schuko,41.43054737,2.218260673,Aparcament Plaça de la Vila,,,,Plaça de la Vila,Barcelona,08,Sant Adrià de Besòs,2,,,POINT (2.218260673 41.43054737)
,,VIA PUBLICA,semiRAPID,2xMENNEKES.F,42.10443,1.85188,EdRsR Berga (AC11kW),11,AC,,"Passeig de la Indústria, 13",Barcelona,08,Berga,2,,,POINT (1.85188 42.10443)
,,,,MENNEKES.F,41.08438,1.036,EdRsR Cooperativa de Cambrils (AC22kW),22,AC,,"Carretera de Cambrils - Montbrió, km 2",Tarragona,43,Cambrils,2,,,POINT (1.036 41.08438)
,BIMSA,VIA PUBLICA,NORMAL,Schuko,41.396281,2.159284,Lateral-Mar Diagonal (Còrsega) 1,,,LC045,"Avinguda Diagonal, 387",Barcelona,08,Barcelona,2,,moto,POINT (2.159284 41.396281)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.406731,2.133691,B:SM 27 - Plaça Bonanova,,,BSM005,"Plaça de la Bonanova, 12",Barcelona,08,Barcelona,3+1,,cotxe i moto,POINT (2.133691 41.406731)
,ESSER,ESTACIÓ DE SERVEI,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.71353,2.83089,EdRR ESSER Lloret (DC50kW AC43kW),50,AC-DC,,"Avinguda de les Alegries, 89-91",Barcelona,08,Lloret de Mar,2,,,POINT (2.83089 41.713530000000006)
,TABASA,APARCAMENT PUBLIC,NORMAL,Schuko,41.4812,2.0726,TABASA Estació FGC VOLPELLERES,,,,Plaça de l'estació,Barcelona,08,Sant Cugat del Valles,1,,cotxe,POINT (2.0726 41.4812)
,,,NORMAL,MENNEKES.F+Schuko,41.37758,2.08867,Esplugues S.Magdalena,,,,"Plaça Santa Magdalena, 4",Barcelona,08,Esplugues de Llobregat,1,,cotxe i moto,POINT (2.08867 41.37758)
,Leroy Merlin,APARCAMENT CC,NORMAL,Schuko,41.48142,2.04547,CC Leroy Merlin Sant Cugat,,,,"Parc. Activ. Econòmiques, Carretera de Rubí, s/n",Barcelona,08,Sant Cugat del Valles,,,cotxe i moto,POINT (2.04547 41.48142)
