ID,PROMOTOR-GESTOR,ACCES,TIPUS VELOCITAT,TIPUS CONNEXIÓ,LATITUD,LONGITUD,DESIGNACIÓ-DESCRIPTIVA,POTENCIA,TIPUS DE CORRENT,INDENTIFICADOR,ADREÇA,PROVINCIA,CODIPROV,MUNICIPI,NPLACES ESTACIÓ,CODIMUN,TIPUS VEHICLE,Columna amb georeferència
,Ajuntament Cambrils,VIA PUBLICA,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.06491,1.05732,EdRsR Cambrils 1 (7.5kW),7.5,AC,,"Carrer de Robert Gerhard, 4",Tarragona,43,Cambrils,4,,cotxe i moto,POINT (1.05732 41.06491)
,Institut Català d'Energia i GESTVIA Calella,,semiRAPID i NORMAL,MENNEKES.F + Schuko,41.61658,2.66029,EdRsR Calella (AC22kW) PIRVEC-23,22,AC,PIRVEC-23,Carrer de Sant Joan - Carretera N-II,Barcelona,08,Calella,2,,,POINT (2.66029 41.61658)
,CC CARREFOUR Tarragona,APARCAMENT CC,NORMAL,Schuko,41.12742844368022,1.206863969564438,CC CARREFOUR TARRAGONA,,,,"Carretera de Reus, 57-59, AP-7",Tarragona,43,Tarragona,2,,cotxe i moto,POINT (1.2068639695644379 41.12742844368022)
,,,semiRAPID i NORMAL,MENNEKES.F+Schuko,42.30895,3.01289,EdRsR Peralada (AC22kW),22,AC,,"Camí de la Garriga, 3",Barcelona,08,Peralada,2,,,POINT (3.01289 42.30895)
,AMERSAM,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.15932,1.102465,Aparcament Sant Ferran,,,,"Carrer de Joan Martell, 23",Tarragona,43,Reus,2,,cotxe i moto,POINT (1.102465 41.15932)
,Abertis-saba,VIA PUBLICA,NORMAL,Schuko,41.340265,2.125109,Seu zona franca Abertis,,,,Carrer numero Un,Barcelona,08,Barcelona,2,,cotxe i moto,POINT (2.125109 41.340265)
,Ajuntament de Beuda,APARCAMENT PUBLIC,NORMAL,Schuko,42.23771,2.71061,Ajuntament de Beuda,,,,"Carrer major, GIV-5234",Girona,17,Beuda,2,,cotxe i moto,POINT (2.71061 42.23771)
,,APARCAMENT HOTEL,superRAPID,TESLA,41.85889,2.76771,TESLA Supercarregador - PGA Caldes de Malavella (120kW),120,DC,,"Carretera N-II, km 701",Girona,17,Caldes de Malavella,10,,cotxe,POINT (2.76771 41.85889)
,Endesa,VIA PUBLICA,NORMAL,Schuko,41.407269,2.138413,16 AjBCN-Endesa,,,LC012,"Carrer de Balmes,422 - Carrer de Castanyer",Barcelona,08,Barcelona,2,,moto,POINT (2.138413 41.40726900000001)
,GAICU,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.415125,2.136311,EdRR-Alfons Comín-Vallcarca (DC50kW AC43kW),50,AC-DC,FC004,"Plaça Alfons Comín, 12- Isaac Newton",Barcelona,08,Barcelona,1,,cotxe,POINT (2.136311 41.415125)
,Institut Català d'Energia i Ajuntament de Figueres,,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,42.26886,2.96692,EdRR Figueres 2 -Josep Tarradellas- (DC50kW AC43kW) PIRVEC-19,50,AC-DC,PIRVEC-19,"Plaça President Josep Tarradellas, 15",Girona,17,Figueres,2,,,POINT (2.96692 42.268860000000004)
,CC CARREFOUR El Prat,APARCAMENT CC,NORMAL,Schuko,41.335179,2.088768,CC CARREFOUR El Prat,,,,Autovia Castelldefels km 194,Barcelona,08,El Prat de Llobregat,2,,cotxe i moto,POINT (2.088768 41.335179000000004)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.380864,2.183077,B:SM 23 - Moll de la Fusta,,,BSM010,Carrer de l'Ictineu,Barcelona,08,Barcelona,4+1,,cotxe i moto,POINT (2.183077 41.380864)
,,,NORMAL,Schuko,41.56064,2.0059,Aparcament Plaça Progrés,,,,"Plaça del Progrés, 8",Barcelona,08,Terrassa,4,,cotxe i moto,POINT (2.0059 41.56064)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.385654,2.177128,B:SM 51 - Mercat Santa Caterina,,,BAMSA004,"Avinguda  de Francesc Cambó, 10",Barcelona,08,Barcelona,1,,cotxe o moto,POINT (2.177128 41.385654)
,Area Metropolitana de Barcelona,VIA PUBLICA (AMB),RAPID i NORMAL,CCS Combo2+ChadeMO+MENNEKES.M+shucko,41.37443,2.07219,EdRR Sant Joan Despí-TV3 (DC50kW AC43kW) AMB3,50,AC-DC,AMB3,"Carrer de la TV3, 1",Barcelona,08,Sant Joan Despí,4,,cotxe i moto,POINT (2.07219 41.37443)
,Vincipark,APARCAMENT PUBLIC,NORMAL,Schuko,41.393803,2.138297,Aparcament Vincipark Ganduxer,,,,"Carrer Ganduxer, 25-27",Barcelona,08,Barcelona,4,,cotxe i moto,POINT (2.138297 41.393803)
,REGESA,APARCAMENT PUBLIC,NORMAL,Schuko,41.392242,2.139655,72 REGESA Wagner,,,,"Plaça de Wagner, s/n",Barcelona,08,Barcelona,4,,cotxe,POINT (2.139655 41.392242)
,Endesa,VIA PUBLICA,NORMAL,Schuko,41.388088,2.107004,21 AjBCN-Endesa,,,LC029,"Carretera d'Esplugues, 52 - Carrer Eduard Toldra",Barcelona,08,Barcelona,2,,moto,POINT (2.107004 41.388088)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.396853,2.126718,B:SM 6 -  Cardenal Sentmenat - Vergós,,,BSM030,"Carrer del Cardenal de Sentmenat, 8",Barcelona,08,Barcelona,3+3,,cotxe i moto,POINT (2.126718 41.396853)
,,,superRAPID,TESLA,41.49923,2.07282,TESLA Supercarregador - Sant Cugat del Vallès (120kW),120,DC,,"Camí de Can Camps, 13",Barcelona,08,Sant Cugat del Vallés,7,,cotxe,POINT (2.07282 41.49923)
,BIMSA,VIA PUBLICA,NORMAL,Schuko,41.395304,2.153848,Lateral-Muntanya Diagonal (Balmes-Tusset) 1,,,LC049,"Avinguda Diagonal, 508-510",Barcelona,08,Barcelona,2,,moto,POINT (2.153848 41.395304)
,GAICU,VIA PUBLICA,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.433956,2.192101,(eDUM) Sant Adrià - Pl. Can Fabra (7.4kW),7.5,AC,QC002,"Carrer de Sant Adrià, 21",Barcelona,08,Barcelona,2,,mercaderies,POINT (2.192101 41.43395600000001)
,IBIL,APARCAMENT CC (IBIL),semiRAPID i NORMAL,MENNEKES+Schuko,41.5643087913205,2.035557925701141,IBIL-CC Eroski Terrassa-Viena (11kW),11,AC,,"Carrer Navarra, 6",Barcelona,08,Terrassa,2,,cotxe,POINT (2.0355579257011414 41.5643087913205)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.413015,2.221156,B:SM 30 - Plaça del Fòrum,,,BSM027,"Carrer del Camp de la Bota 4C, - Plaça Ernest Narcís i Roca",Barcelona,08,Barcelona,4+2,,cotxe i moto,POINT (2.221156 41.413015)
,Ajuntament de Vic,APARCAMENT PUBLIC,NORMAL,J1772.F+Schuko,41.933947446794036,2.260239869356155,IES-VIC Aparcament (J1772),,,,Carrer Jose Maria Sert s/n,Barcelona,08,Vic,2+2,,moto i cotxe,POINT (2.2602398693561554 41.933947446794036)
,TESLA,APARCAMENT HOTEL,semiRAPID,TESLA,41.23474,1.80399,TESLA Destinació - Hotel Sofia (22kW),22,AC,,"Avinguda Sofia, 12",Barcelona,08,Sitges,2,,cotxe,POINT (1.80399 41.23474)
,,,semiRAPID,Schuko i MENNEKES.F,41.84843,2.39057,EdRsR Viladrau (AC22kW),22,AC,,"Carrer Balcells i Morató, 3",Girona,17,Viladrau,2,,,POINT (2.39057 41.84843)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.394238,2.181891,B:SM 10 - Estació Barcelona-Nord,,,BSM014,"Carrer d'Alí Bei, 54",Barcelona,08,Barcelona,4+4,,cotxe i moto,POINT (2.181891 41.394238)
,Ajuntament de  Granollers,VIA PUBLICA,NORMAL,Schuko,41.608160167,2.287309987,Aparcament Can Comas,,,,"Plaça de la Porxada, 6",Barcelona,08,Granollers,3,,cotxe i moto,POINT (2.287309987 41.608160167)
,Area Metropolitana de Barcelona,VIA PUBLICA (AMB),RAPID i NORMAL,CCS Combo2+ChadeMO+MENNEKES.M+shucko,41.29728,2.00811,EdRR Gavà (DC50kW AC43kW) AMB4,50,AC-DC,AMB4,"Carrer del Progrès, 54",Barcelona,08,Gavà,4,,cotxe i moto,POINT (2.00811 41.29728)
,Vincipark,APARCAMENT PUBLIC,NORMAL,Schuko,41.373722,2.170482,Aparcament Vincipark Vilà i Vilà,,,,"Carrer de Vilà i Vilà, 44",Barcelona,08,Barcelona,3,,cotxe i moto,POINT (2.170482 41.373722)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.4044,2.1972,B:SM 34 - Rambla Poblenou,,,BSM038,"Rambla del Poblenou, 130",Barcelona,08,Barcelona,3,,cotxe,POINT (2.1972 41.4044)
,PETREM,ESTACIÓ DE SERVEI,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.98951,2.79539,EdRR E.S. PETREM ECO Girona (DC50kW AC43kW),50,AC-DC,,"Carretera Antiga d'Amer, 1",Girona,17,Girona,2,,cotxe,POINT (2.79539 41.98951)
,Area Metropolitana de Barcelona,VIA PUBLICA (AMB),RAPID i NORMAL,CCS Combo2+ChadeMO+MENNEKES.M+shucko,41.45496,2.22666,EdRR Montigalà (DC50kW AC43kW) AMB5,50,AC-DC,AMB5,"Carrer d'Anna Tugas, 26",Barcelona,08,Badalona,4,,cotxe i moto,POINT (2.22666 41.45496)
,Parking Ninot,,NORMAL,Schuko i MENNEKES.F,41.3897592260418,2.1551764011383,Aparcament Ninot,,,,"Carrer de Provença, 192",Barcelona,08,Barcelona,2,,cotxe i moto,POINT (2.1551764011383 41.3897592260418)
,Ajuntament de Granollers,,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.60002,2.28025,EdRR Granollers (DC50kW AC43kW),50,AC-DC,,"Carrer Camp de les Moreres, 25",Barcelona,08,Granollers,2,,,POINT (2.28025 41.60002)
,Endesa,VIA PUBLICA,NORMAL,Schuko,41.389255,2.161321,28 AjBCN-Endesa-Aragó-Pl.Letamendi,,,LC008,"Plaça del Dr. Letamendi, 30-33",Barcelona,08,Barcelona,2,,moto,POINT (2.161321 41.389255)
,L'H2010,APARCAMENT CC,NORMAL,Schuko,41.374238291,2.119582102,CC BCN-Mercat de Collblanc,,,,"Carrer Progrès, 33",Barcelona,08,L'Hospitalet de Llobregat,6,,,POINT (2.119582102 41.374238291)
,AMERSAM,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.15034,1.110766,Aparcament Carrilet,,,,"Avinguda del Carrilet, 40",Tarragona,43,Reus,2,,cotxe i moto,POINT (1.110766 41.15034)
,MEROIL,ESTACIÓ SERVEI,NORMAL,Schuko,41.448,2.1883,Meroil Meridiana,,,,"Avinguda Meridiana, 666",Barcelona,08,Barcelona,1,,cotxe i moto,POINT (2.1883 41.448)
,Ajuntament de Castelldefels,VIA PUBLICA,NORMAL,Schuko,41.281941,1.980239,Aparcament Arcadi Balaguer-Albert Einstein,,,,Carrer d'Arcadi Balaguer- Carrer d'Albert Einstein,Barcelona,08,Castelldefels,2,,cotxe i moto,POINT (1.980239 41.281941)
,GRAMEPARK,APARCAMENT CC,NORMAL,Schuko,41.451025,2.209483,Aparcament GRAMEPARK,,,,"Rambla de Sant Sebastià,2",Barcelona,08,Santa Coloma de Gramenet,9,,cotxe i moto,POINT (2.209483 41.45102500000001)
,Hotel Ciutat de Granollers,APARCAMENT HOTEL,NORMAL,MENNEKES.F+Schuko,41.60092,2.29588,Hotel Ciutat de Granollers,,,,"Carrer del Turó Groguet, 2",Barcelona,08,Granollers,1,,cotxe,POINT (2.29588 41.60092)
,BIMSA,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.388226,2.169769,(eTAXI)EdRR-Passeig de Gràcia-Casp (DC50kW AC43kW),50,AC-DC,FC010,"Passeig de Gràcia, 3",Barcelona,08,Barcelona,1,,cotxe,POINT (2.169769 41.388226)
,Ajuntament de Vic,VIA PUBLICA,NORMAL,Schuko,41.933748,2.248307,Rectorat Universitat VIC,,,,"Carrer Miramarges, 4",Barcelona,08,Vic,2,,moto,POINT (2.248307 41.933748)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.411148,2.174359,B:SM 2 - Avinguda Gaudí,,,BSM006,"Carrer dels Castillejos, 330 (E1), Carrer de Cartagena, 319 (E2)",Barcelona,08,Barcelona,3+1,,cotxe i moto,POINT (2.174359 41.411148)
,Vincipark,APARCAMENT PUBLIC,NORMAL,Schuko,41.382694,2.139639,Aparcament Vincipark Numància,,,,"Carrer de Numància, 37",Barcelona,08,Barcelona,3,,,POINT (2.139639 41.382694)
,Endesa,VIA PUBLICA,NORMAL,Schuko,41.390945,2.196515,13 AjBCN-Endesa,,,LC034,"Avinguda  d'Icària, 145 - Carrer de Rosa Censat, 14",Barcelona,08,Barcelona,2,,moto,POINT (2.196515 41.390945)
,Institut Català d'Energia i GAICU,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.37996,2.13914,"EdRRx2-Estació Sants, Ap. Zona Autobusos (DC50kW AC43kW)",50,AC-DC,PIRVEC-11 + FC003,"Carrer Viriat, 5-23",Barcelona,08,Barcelona,2,,cotxe,POINT (2.1391400000000003 41.37996)
,AMERSAM,VIA PUBLICA,NORMAL,MENNEKES.F+Schuko,41.157893,1.105291,Area P Plaça Pintor Fortuny,,,,Plaça Pintor Fortuny,Tarragona,43,Reus,2,,cotxe i moto,POINT (1.105291 41.15789300000001)
,BIMSA,VIA PUBLICA,NORMAL,Schuko,41.395305,2.153849,Lateral-Muntanya Diagonal (Balmes-Tusset) 2,,,LC050,"Avinguda Diagonal, 508-510",Barcelona,08,Barcelona,2,,moto,POINT (2.153849 41.395305)
,Ajuntament de Girona,VIA PUBLICA,NORMAL,Schuko,41.98145668149892,2.823227494955063,Girona- Pl.Catalunya (S-W),,,,"Plaça Catalunya, 24",Girona,17,Girona,1,,,POINT (2.823227494955063 41.98145668149892)
,,VIA PUBLICA,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.25937,1.77389,EdRsR Sant Pere de Ribes 1 (AC22kW),22,AC,,"Lluís Companys, 75",Barcelona,08,Sant Pere de Ribes,2,,cotxe i moto,POINT (1.77389 41.25937)
,,,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.19262,1.60395,EdRR Segur de Calafell (DC50kW-AC45kW),50,AC-DC,,"Carretera Barcelona, 82",Tarragona,43,Segur de Calafell,,,,POINT (1.60395 41.19262)
,Institut Català d'Energia i Ajuntament de Roses,,semiRAPID i NORMAL,CCS Combo2+ChadeMO+MENNEKES.F,42.26344,3.1787,EdRsR Roses (DC28kW AC22kW) PIRVEC-21,22,AC-DC,PIRVEC-21,"Carrer de la Riera Ginjolers, 68",Girona,17,Roses,2,,,POINT (3.1787 42.26344000000001)
,,,,4xMENNKES.F,41.41297,2.01392,EdRsR Molins de Rei (AC22kW),22,AC,,Plaça de la Llibertat,Barcelona,08,Molins de Rei,4,,,POINT (2.01392 41.41297)
,Institut Català d'Energia i Ajuntament d'Amposta,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,40.7124,0.57921,EdRR Amposta (DC50kW AC43kW),50,AC-DC,PIRVEC-1,"Avinguda de l'Alcalde Palau, 57",Tarragona,43,Amposta,2,,cotxe,POINT (0.57921 40.7124)
,AEB,VIA PUBLICA,NORMAL,Schuko,41.359982,2.133193,89 AjBCN-ETRA-COBRA,,,LC009,"Carretera del Prat, 42",Barcelona,08,Barcelona,2,,cotxe i moto,POINT (2.133193 41.359982)
,Area Metropolitana de Barcelona,VIA PUBLICA (AMB),RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.31814,2.07481,EdRR El Prat de Llobregat (DC50kW AC44kW) AMB1,50,AC-DC,AMB1,Plaça de la Volateria-Carrer de Canudas,Barcelona,08,EL PRAT DE LLOBREGAT,1,,cotxe,POINT (2.07481 41.31814)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.382737,2.194412,B:SM 15 - Hospital del Mar,,,BSM031,"Passeig  Marítim de la Barceloneta, 23-31",Barcelona,08,Barcelona,6+3,,cotxe i moto,POINT (2.194412 41.382737)
,Ajuntament de  El Masnou,VIA PUBLICA,NORMAL,Schuko,41.4821,2.3229,Ajuntament de El Masnou 2,,,,"Carrer Fontanils, 122",Barcelona,08,El Masnou,1,,cotxe o moto,POINT (2.3229 41.4821)
,,,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.55784,2.04247,EdRsR Cementiri de Terrassa (7.5kW),7.5,AC,,"Carretera de Montcada, 779A",Barcelona,08,Terrassa,2,,,POINT (2.04247 41.55784)
,REGESA,APARCAMENT PUBLIC,NORMAL,Schuko,41.420441,2.180899,75 REGESA Maragall,,,,"Plaça de Maragall, 1",Barcelona,08,Barcelona,4,,cotxe,POINT (2.180899 41.420441000000004)
,Endesa,VIA PUBLICA,NORMAL,Schuko,41.393948,2.156007,22 AjBCN-Endesa,,,LC003,"Carrer de Còrsega, 264",Barcelona,08,Barcelona,2,,moto,POINT (2.156007 41.393948)
,GAICU,VIA PUBLICA,semiRAPID,MENNEKES.F,41.406959,2.218313,(eTAXI) Garcia i Fària - Josep Pla (7.4kW),7.5,AC,QC005,"Carrer Josep Pla-Passeig Garcia Fària, 87",Barcelona,08,Barcelona,2,,taxi,POINT (2.218313 41.406959)
